,Dataset,Fold,Method,Metric,Patient,Performance
92,V-23_24,1,MMSBM,Accuracy,210,0.7916666666666667
93,V-23_24,0,MMSBM,Recall,210,1.0
94,V-23_24,0,MMSBM,Precision,210,0.6666666655555555
95,V-23_24,0,MMSBM,Accuracy,210,0.9166666666666666
96,V-23_24,3,MMSBM,Recall,210,1.0
97,V-23_24,3,MMSBM,Precision,210,0.6666666655555555
98,V-23_24,3,MMSBM,Accuracy,210,0.9130434782608695
99,V-23_24,2,MMSBM,Recall,210,0.4
100,V-23_24,2,MMSBM,Precision,210,0.6666666655555555
101,V-23_24,2,MMSBM,Accuracy,210,0.6666666666666666
102,V-23_24,4,MMSBM,Recall,210,0.875
103,V-23_24,4,MMSBM,Precision,210,0.8749999989062499
104,V-23_24,4,MMSBM,Accuracy,210,0.9130434782608696
105,V-23_24,1,MMSBM,Recall,211,0.14285714285714285
106,V-23_24,1,MMSBM,Precision,211,0.3333333322222222
107,V-23_24,1,MMSBM,Accuracy,211,0.6666666666666666
108,V-23_24,0,MMSBM,Recall,211,0.5
109,V-23_24,0,MMSBM,Precision,211,0.5999999988
110,V-23_24,0,MMSBM,Accuracy,211,0.7916666666666666
111,V-23_24,3,MMSBM,Recall,211,0.8
112,V-23_24,3,MMSBM,Precision,211,0.3999999996
113,V-23_24,3,MMSBM,Accuracy,211,0.6956521739130435
114,V-23_24,2,MMSBM,Recall,211,0.2
115,V-23_24,2,MMSBM,Precision,211,0.4999999975
116,V-23_24,2,MMSBM,Accuracy,211,0.7916666666666666
117,V-23_24,4,MMSBM,Recall,211,0.16666666666666666
118,V-23_24,4,MMSBM,Precision,211,0.3333333322222222
119,V-23_24,4,MMSBM,Accuracy,211,0.6956521739130435
120,V-23_24,1,MMSBM,Recall,218,0.5
121,V-23_24,1,MMSBM,Precision,218,0.999999995
122,V-23_24,1,MMSBM,Accuracy,218,0.9166666666666667
123,V-23_24,0,MMSBM,Recall,218,0.2
124,V-23_24,0,MMSBM,Precision,218,0.9999999900000002
125,V-23_24,0,MMSBM,Accuracy,218,0.8333333333333333
126,V-23_24,3,MMSBM,Recall,218,0.4
127,V-23_24,3,MMSBM,Precision,218,0.999999995
128,V-23_24,3,MMSBM,Accuracy,218,0.8695652173913044
129,V-23_24,2,MMSBM,Recall,218,0.8
130,V-23_24,2,MMSBM,Precision,218,0.9999999975
131,V-23_24,2,MMSBM,Accuracy,218,0.9583333333333333
132,V-23_24,4,MMSBM,Recall,218,0.0
133,V-23_24,4,MMSBM,Precision,218,0.0
134,V-23_24,4,MMSBM,Accuracy,218,0.782608695652174
135,V-23_24,1,MMSBM,Recall,219,0.3
136,V-23_24,1,MMSBM,Precision,219,0.7499999981250001
137,V-23_24,1,MMSBM,Accuracy,219,0.6666666666666666
138,V-23_24,0,MMSBM,Recall,219,0.3333333333333333
139,V-23_24,0,MMSBM,Precision,219,0.3999999992
140,V-23_24,0,MMSBM,Accuracy,219,0.7083333333333334
141,V-23_24,3,MMSBM,Recall,219,0.4
142,V-23_24,3,MMSBM,Precision,219,0.6666666644444444
143,V-23_24,3,MMSBM,Accuracy,219,0.826086956521739
144,V-23_24,2,MMSBM,Recall,219,0.3333333333333333
145,V-23_24,2,MMSBM,Precision,219,0.49999999875
146,V-23_24,2,MMSBM,Accuracy,219,0.75
147,V-23_24,4,MMSBM,Recall,219,0.5
148,V-23_24,4,MMSBM,Precision,219,0.4285714279591837
149,V-23_24,4,MMSBM,Accuracy,219,0.6956521739130435
150,V-23_24,1,MMSBM,Recall,133,0.6666666666666666
151,V-23_24,1,MMSBM,Precision,133,0.999999995
152,V-23_24,1,MMSBM,Accuracy,133,0.9583333333333334
153,V-23_24,0,MMSBM,Recall,133,0.0
154,V-23_24,0,MMSBM,Precision,133,0.0
155,V-23_24,0,MMSBM,Accuracy,133,0.75
156,V-23_24,3,MMSBM,Recall,133,0.0
157,V-23_24,3,MMSBM,Precision,133,0.0
158,V-23_24,3,MMSBM,Accuracy,133,0.7391304347826086
159,V-23_24,2,MMSBM,Recall,133,0.375
160,V-23_24,2,MMSBM,Precision,133,0.9999999966666667
161,V-23_24,2,MMSBM,Accuracy,133,0.7916666666666666
162,V-23_24,4,MMSBM,Recall,133,0.125
163,V-23_24,4,MMSBM,Precision,133,0.9999999900000002
164,V-23_24,4,MMSBM,Accuracy,133,0.6956521739130435
165,V-23_24,1,MMSBM,Recall,132,0.3333333333333333
166,V-23_24,1,MMSBM,Precision,132,0.3333333322222222
167,V-23_24,1,MMSBM,Accuracy,132,0.8333333333333333
168,V-23_24,0,MMSBM,Recall,132,0.3333333333333333
169,V-23_24,0,MMSBM,Precision,132,0.6666666644444444
170,V-23_24,0,MMSBM,Accuracy,132,0.7916666666666667
171,V-23_24,3,MMSBM,Recall,132,0.4
172,V-23_24,3,MMSBM,Precision,132,0.49999999875
173,V-23_24,3,MMSBM,Accuracy,132,0.7826086956521738
174,V-23_24,2,MMSBM,Recall,132,0.3333333333333333
175,V-23_24,2,MMSBM,Precision,132,0.49999999875
176,V-23_24,2,MMSBM,Accuracy,132,0.75
177,V-23_24,4,MMSBM,Recall,132,0.375
178,V-23_24,4,MMSBM,Precision,132,0.9999999966666667
179,V-23_24,4,MMSBM,Accuracy,132,0.782608695652174
180,V-23_24,1,MMSBM,Recall,131,0.5714285714285714
181,V-23_24,1,MMSBM,Precision,131,0.6666666655555555
182,V-23_24,1,MMSBM,Accuracy,131,0.7916666666666666
183,V-23_24,0,MMSBM,Recall,131,0.7
184,V-23_24,0,MMSBM,Precision,131,0.7777777769135802
185,V-23_24,0,MMSBM,Accuracy,131,0.7916666666666667
186,V-23_24,3,MMSBM,Recall,131,1.0
187,V-23_24,3,MMSBM,Precision,131,0.9090909082644627
188,V-23_24,3,MMSBM,Accuracy,131,0.9565217391304348
189,V-23_24,2,MMSBM,Recall,131,1.0
190,V-23_24,2,MMSBM,Precision,131,0.33333333277777777
191,V-23_24,2,MMSBM,Accuracy,131,0.8333333333333334
192,V-23_24,4,MMSBM,Recall,131,0.3333333333333333
193,V-23_24,4,MMSBM,Precision,131,0.6666666655555555
194,V-23_24,4,MMSBM,Accuracy,131,0.5652173913043479
