,Dataset,Fold,Method,Metric,Patient,Performance
12084,V-25,2,MMSBM,Recall,250,0.9166666666666666
12085,V-25,2,MMSBM,Precision,250,0.8461538455029586
12086,V-25,2,MMSBM,Accuracy,250,0.896551724137931
12087,V-25,4,MMSBM,Recall,250,0.6666666666666666
12088,V-25,4,MMSBM,Precision,250,0.7999999992
12089,V-25,4,MMSBM,Accuracy,250,0.7857142857142857
12090,V-25,1,MMSBM,Recall,251,0.7222222222222222
12091,V-25,1,MMSBM,Precision,251,0.8124999994921874
12092,V-25,1,MMSBM,Accuracy,251,0.7241379310344828
12093,V-25,0,MMSBM,Recall,251,0.5
12094,V-25,0,MMSBM,Precision,251,0.6363636357851239
12095,V-25,0,MMSBM,Accuracy,251,0.6206896551724138
12096,V-25,3,MMSBM,Recall,251,0.7857142857142857
12097,V-25,3,MMSBM,Precision,251,0.7857142851530612
12098,V-25,3,MMSBM,Accuracy,251,0.7931034482758621
12099,V-25,2,MMSBM,Recall,251,0.6666666666666666
12100,V-25,2,MMSBM,Precision,251,0.7999999992
12101,V-25,2,MMSBM,Accuracy,251,0.7931034482758621
12102,V-25,4,MMSBM,Recall,251,0.6363636363636364
12103,V-25,4,MMSBM,Precision,251,0.5833333328472222
12104,V-25,4,MMSBM,Accuracy,251,0.6785714285714286
12105,V-25,1,MMSBM,Recall,256,0.875
12106,V-25,1,MMSBM,Precision,256,0.874999999453125
12107,V-25,1,MMSBM,Accuracy,256,0.8620689655172413
12108,V-25,0,MMSBM,Recall,256,0.8333333333333334
12109,V-25,0,MMSBM,Precision,256,0.7142857137755102
12110,V-25,0,MMSBM,Accuracy,256,0.7931034482758621
12111,V-25,3,MMSBM,Recall,256,0.7777777777777778
12112,V-25,3,MMSBM,Precision,256,0.6999999992999999
12113,V-25,3,MMSBM,Accuracy,256,0.8275862068965517
12114,V-25,2,MMSBM,Recall,256,0.9285714285714286
12115,V-25,2,MMSBM,Precision,256,0.8666666660888889
12116,V-25,2,MMSBM,Accuracy,256,0.896551724137931
12117,V-25,4,MMSBM,Recall,256,0.8125
12118,V-25,4,MMSBM,Precision,256,0.8666666660888889
12119,V-25,4,MMSBM,Accuracy,256,0.8214285714285714
12120,V-25,1,MMSBM,Recall,257,0.9230769230769231
12121,V-25,1,MMSBM,Precision,257,0.7058823525259516
12122,V-25,1,MMSBM,Accuracy,257,0.7931034482758621
12123,V-25,0,MMSBM,Recall,257,0.6923076923076923
12124,V-25,0,MMSBM,Precision,257,0.8181818174380164
12125,V-25,0,MMSBM,Accuracy,257,0.7931034482758621
12126,V-25,3,MMSBM,Recall,257,0.6428571428571429
12127,V-25,3,MMSBM,Precision,257,0.9999999988888888
12128,V-25,3,MMSBM,Accuracy,257,0.8275862068965518
12129,V-25,2,MMSBM,Recall,257,0.6428571428571429
12130,V-25,2,MMSBM,Precision,257,0.6923076917751478
12131,V-25,2,MMSBM,Accuracy,257,0.6896551724137931
12132,V-25,4,MMSBM,Recall,257,0.9285714285714286
12133,V-25,4,MMSBM,Precision,257,0.7647058819031142
12134,V-25,4,MMSBM,Accuracy,257,0.8214285714285714
12135,V-25,1,MMSBM,Recall,254,0.9166666666666666
12136,V-25,1,MMSBM,Precision,254,0.7857142851530612
12137,V-25,1,MMSBM,Accuracy,254,0.8620689655172413
12138,V-25,0,MMSBM,Recall,254,0.7272727272727273
12139,V-25,0,MMSBM,Precision,254,0.666666666111111
12140,V-25,0,MMSBM,Accuracy,254,0.7586206896551724
12141,V-25,3,MMSBM,Recall,254,0.7857142857142857
12142,V-25,3,MMSBM,Precision,254,0.8461538455029586
12143,V-25,3,MMSBM,Accuracy,254,0.8275862068965517
12144,V-25,2,MMSBM,Recall,254,0.7333333333333333
12145,V-25,2,MMSBM,Precision,254,0.999999999090909
12146,V-25,2,MMSBM,Accuracy,254,0.8620689655172413
12147,V-25,4,MMSBM,Recall,254,0.7857142857142857
12148,V-25,4,MMSBM,Precision,254,0.8461538455029586
12149,V-25,4,MMSBM,Accuracy,254,0.8214285714285714
12150,V-25,1,MMSBM,Recall,255,0.7777777777777778
12151,V-25,1,MMSBM,Precision,255,0.6999999992999999
12152,V-25,1,MMSBM,Accuracy,255,0.8275862068965517
12153,V-25,0,MMSBM,Recall,255,0.8333333333333334
12154,V-25,0,MMSBM,Precision,255,0.7692307686390532
12155,V-25,0,MMSBM,Accuracy,255,0.8275862068965518
12156,V-25,3,MMSBM,Recall,255,0.7142857142857143
12157,V-25,3,MMSBM,Precision,255,0.7142857137755102
12158,V-25,3,MMSBM,Accuracy,255,0.7241379310344828
12159,V-25,2,MMSBM,Recall,255,0.8571428571428571
12160,V-25,2,MMSBM,Precision,255,0.9999999991666666
12161,V-25,2,MMSBM,Accuracy,255,0.9310344827586208
12162,V-25,4,MMSBM,Recall,255,0.7857142857142857
12163,V-25,4,MMSBM,Precision,255,0.7333333328444444
12164,V-25,4,MMSBM,Accuracy,255,0.75
12165,V-25,1,MMSBM,Recall,157,0.5384615384615384
12166,V-25,1,MMSBM,Precision,157,0.6999999992999999
12167,V-25,1,MMSBM,Accuracy,157,0.6896551724137931
12168,V-25,0,MMSBM,Recall,157,0.7272727272727273
12169,V-25,0,MMSBM,Precision,157,0.7999999992
12170,V-25,0,MMSBM,Accuracy,157,0.8275862068965517
12171,V-25,3,MMSBM,Recall,157,0.6153846153846154
12172,V-25,3,MMSBM,Precision,157,0.8888888879012344
12173,V-25,3,MMSBM,Accuracy,157,0.7931034482758621
12174,V-25,2,MMSBM,Recall,157,0.6
12175,V-25,2,MMSBM,Precision,157,0.6666666659259258
12176,V-25,2,MMSBM,Accuracy,157,0.7586206896551724
12177,V-25,4,MMSBM,Recall,157,0.9
12178,V-25,4,MMSBM,Precision,157,0.6428571423979591
12179,V-25,4,MMSBM,Accuracy,157,0.7857142857142858
12180,V-25,1,MMSBM,Recall,156,0.9090909090909091
12181,V-25,1,MMSBM,Precision,156,0.7692307686390532
12182,V-25,1,MMSBM,Accuracy,156,0.8620689655172414
12183,V-25,0,MMSBM,Recall,156,0.8125
12184,V-25,0,MMSBM,Precision,156,0.8124999994921874
12185,V-25,0,MMSBM,Accuracy,156,0.7931034482758621
12186,V-25,3,MMSBM,Recall,156,0.8571428571428571
12187,V-25,3,MMSBM,Precision,156,0.7499999990624999
12188,V-25,3,MMSBM,Accuracy,156,0.896551724137931
12189,V-25,2,MMSBM,Recall,156,0.8181818181818182
12190,V-25,2,MMSBM,Precision,156,0.749999999375
12191,V-25,2,MMSBM,Accuracy,156,0.8275862068965518
12192,V-25,4,MMSBM,Recall,156,0.8461538461538461
12193,V-25,4,MMSBM,Precision,156,0.999999999090909
12194,V-25,4,MMSBM,Accuracy,156,0.9285714285714286
12195,V-25,1,MMSBM,Recall,731,0.7
12196,V-25,1,MMSBM,Precision,731,0.6999999992999999
12197,V-25,1,MMSBM,Accuracy,731,0.7931034482758621
12198,V-25,0,MMSBM,Recall,731,0.8
12199,V-25,0,MMSBM,Precision,731,0.7272727266115702
12200,V-25,0,MMSBM,Accuracy,731,0.8275862068965517
12201,V-25,3,MMSBM,Recall,731,0.8333333333333334
12202,V-25,3,MMSBM,Precision,731,0.9090909082644627
12203,V-25,3,MMSBM,Accuracy,731,0.896551724137931
12204,V-25,2,MMSBM,Recall,731,0.8333333333333334
12205,V-25,2,MMSBM,Precision,731,0.9999999989999999
12206,V-25,2,MMSBM,Accuracy,731,0.9310344827586207
12207,V-25,4,MMSBM,Recall,731,0.8181818181818182
12208,V-25,4,MMSBM,Precision,731,0.8999999991
12209,V-25,4,MMSBM,Accuracy,731,0.8928571428571428
12210,V-25,1,MMSBM,Recall,730,0.625
12211,V-25,1,MMSBM,Precision,730,0.9090909082644627
12212,V-25,1,MMSBM,Accuracy,730,0.7586206896551724
12213,V-25,0,MMSBM,Recall,730,0.9230769230769231
12214,V-25,0,MMSBM,Precision,730,0.6666666662962962
12215,V-25,0,MMSBM,Accuracy,730,0.7586206896551724
12216,V-25,3,MMSBM,Recall,730,0.8461538461538461
12217,V-25,3,MMSBM,Precision,730,0.8461538455029586
12218,V-25,3,MMSBM,Accuracy,730,0.8620689655172413
12219,V-25,2,MMSBM,Recall,730,0.8888888888888888
12220,V-25,2,MMSBM,Precision,730,0.8888888879012344
12221,V-25,2,MMSBM,Accuracy,730,0.9310344827586207
12222,V-25,4,MMSBM,Recall,730,0.9
12223,V-25,4,MMSBM,Precision,730,0.8999999991
12224,V-25,4,MMSBM,Accuracy,730,0.9285714285714286
12225,V-25,1,MMSBM,Recall,733,1.0
12226,V-25,1,MMSBM,Precision,733,0.8333333326388889
12227,V-25,1,MMSBM,Accuracy,733,0.9310344827586207
12228,V-25,0,MMSBM,Recall,733,0.6153846153846154
12229,V-25,0,MMSBM,Precision,733,0.9999999987499999
12230,V-25,0,MMSBM,Accuracy,733,0.8275862068965517
12231,V-25,3,MMSBM,Recall,733,1.0
12232,V-25,3,MMSBM,Precision,733,0.5999999996
12233,V-25,3,MMSBM,Accuracy,733,0.7931034482758621
12234,V-25,2,MMSBM,Recall,733,0.9
12235,V-25,2,MMSBM,Precision,733,0.6923076917751478
12236,V-25,2,MMSBM,Accuracy,733,0.8275862068965518
12237,V-25,4,MMSBM,Recall,733,0.6666666666666666
12238,V-25,4,MMSBM,Precision,733,0.7272727266115702
12239,V-25,4,MMSBM,Accuracy,733,0.75
12240,V-25,1,MMSBM,Recall,732,0.7333333333333333
12241,V-25,1,MMSBM,Precision,732,0.9166666659027777
12242,V-25,1,MMSBM,Accuracy,732,0.8275862068965517
12243,V-25,0,MMSBM,Recall,732,0.7272727272727273
12244,V-25,0,MMSBM,Precision,732,0.7999999992
12245,V-25,0,MMSBM,Accuracy,732,0.8275862068965517
12246,V-25,3,MMSBM,Recall,732,0.7777777777777778
12247,V-25,3,MMSBM,Precision,732,0.6999999992999999
12248,V-25,3,MMSBM,Accuracy,732,0.8275862068965517
12249,V-25,2,MMSBM,Recall,732,0.9
12250,V-25,2,MMSBM,Precision,732,0.8181818174380164
12251,V-25,2,MMSBM,Accuracy,732,0.896551724137931
12252,V-25,4,MMSBM,Recall,732,0.6428571428571429
12253,V-25,4,MMSBM,Precision,732,0.6428571423979591
12254,V-25,4,MMSBM,Accuracy,732,0.6428571428571429
12255,V-25,1,MMSBM,Recall,735,0.7777777777777778
12256,V-25,1,MMSBM,Precision,735,0.5833333328472222
12257,V-25,1,MMSBM,Accuracy,735,0.7586206896551725
12258,V-25,0,MMSBM,Recall,735,0.8181818181818182
12259,V-25,0,MMSBM,Precision,735,0.8181818174380164
12260,V-25,0,MMSBM,Accuracy,735,0.8620689655172413
12261,V-25,3,MMSBM,Recall,735,0.5454545454545454
12262,V-25,3,MMSBM,Precision,735,0.8571428559183674
12263,V-25,3,MMSBM,Accuracy,735,0.793103448275862
12264,V-25,2,MMSBM,Recall,735,0.7777777777777778
12265,V-25,2,MMSBM,Precision,735,0.6363636357851239
12266,V-25,2,MMSBM,Accuracy,735,0.7931034482758621
12267,V-25,4,MMSBM,Recall,735,0.8571428571428571
12268,V-25,4,MMSBM,Precision,735,0.8571428559183674
12269,V-25,4,MMSBM,Accuracy,735,0.9285714285714286
12270,V-25,1,MMSBM,Recall,734,0.8
12271,V-25,1,MMSBM,Precision,734,0.6153846149112425
12272,V-25,1,MMSBM,Accuracy,734,0.7586206896551724
12273,V-25,0,MMSBM,Recall,734,0.7777777777777778
12274,V-25,0,MMSBM,Precision,734,0.9999999992857143
12275,V-25,0,MMSBM,Accuracy,734,0.8620689655172413
12276,V-25,3,MMSBM,Recall,734,0.7692307692307693
12277,V-25,3,MMSBM,Precision,734,0.9999999989999999
12278,V-25,3,MMSBM,Accuracy,734,0.896551724137931
12279,V-25,2,MMSBM,Recall,734,0.8571428571428571
12280,V-25,2,MMSBM,Precision,734,0.8571428565306122
12281,V-25,2,MMSBM,Accuracy,734,0.8620689655172413
12282,V-25,4,MMSBM,Recall,734,0.8333333333333334
12283,V-25,4,MMSBM,Precision,734,0.7692307686390532
12284,V-25,4,MMSBM,Accuracy,734,0.8214285714285714
12285,V-25,1,MMSBM,Recall,508,0.7777777777777778
12286,V-25,1,MMSBM,Precision,508,0.8749999989062499
12287,V-25,1,MMSBM,Accuracy,508,0.896551724137931
12288,V-25,0,MMSBM,Recall,508,0.6363636363636364
12289,V-25,0,MMSBM,Precision,508,0.8749999989062499
12290,V-25,0,MMSBM,Accuracy,508,0.8275862068965517
12291,V-25,3,MMSBM,Recall,508,0.8571428571428571
12292,V-25,3,MMSBM,Precision,508,0.5999999993999999
12293,V-25,3,MMSBM,Accuracy,508,0.8275862068965517
12294,V-25,2,MMSBM,Recall,508,0.8571428571428571
12295,V-25,2,MMSBM,Precision,508,0.4999999995833333
12296,V-25,2,MMSBM,Accuracy,508,0.7586206896551724
12297,V-25,4,MMSBM,Recall,508,0.8
12298,V-25,4,MMSBM,Precision,508,0.7999999992
12299,V-25,4,MMSBM,Accuracy,508,0.8571428571428571
12300,V-25,1,MMSBM,Recall,736,0.5454545454545454
12301,V-25,1,MMSBM,Precision,736,0.5454545449586776
12302,V-25,1,MMSBM,Accuracy,736,0.6551724137931034
12303,V-25,0,MMSBM,Recall,736,0.3
12304,V-25,0,MMSBM,Precision,736,0.7499999981250001
12305,V-25,0,MMSBM,Accuracy,736,0.7241379310344828
12306,V-25,3,MMSBM,Recall,736,0.5
12307,V-25,3,MMSBM,Precision,736,0.6666666655555555
12308,V-25,3,MMSBM,Accuracy,736,0.7931034482758621
12309,V-25,2,MMSBM,Recall,736,0.6666666666666666
12310,V-25,2,MMSBM,Precision,736,0.2857142853061225
12311,V-25,2,MMSBM,Accuracy,736,0.7931034482758621
12312,V-25,4,MMSBM,Recall,736,0.4166666666666667
12313,V-25,4,MMSBM,Precision,736,0.9999999980000001
12314,V-25,4,MMSBM,Accuracy,736,0.75
12315,V-25,1,MMSBM,Recall,506,0.8
12316,V-25,1,MMSBM,Precision,506,0.7272727266115702
12317,V-25,1,MMSBM,Accuracy,506,0.8275862068965517
12318,V-25,0,MMSBM,Recall,506,0.8
12319,V-25,0,MMSBM,Precision,506,0.9999999991666666
12320,V-25,0,MMSBM,Accuracy,506,0.896551724137931
12321,V-25,3,MMSBM,Recall,506,0.75
12322,V-25,3,MMSBM,Precision,506,0.749999999375
12323,V-25,3,MMSBM,Accuracy,506,0.7931034482758621
12324,V-25,2,MMSBM,Recall,506,1.0
12325,V-25,2,MMSBM,Precision,506,0.6923076917751478
12326,V-25,2,MMSBM,Accuracy,506,0.8620689655172413
12327,V-25,4,MMSBM,Recall,506,0.8
12328,V-25,4,MMSBM,Precision,506,0.8888888879012344
12329,V-25,4,MMSBM,Accuracy,506,0.8928571428571428
12330,V-25,1,MMSBM,Recall,738,0.8
12331,V-25,1,MMSBM,Precision,738,0.8888888879012344
12332,V-25,1,MMSBM,Accuracy,738,0.896551724137931
12333,V-25,0,MMSBM,Recall,738,0.75
12334,V-25,0,MMSBM,Precision,738,0.8999999991
12335,V-25,0,MMSBM,Accuracy,738,0.8620689655172413
12336,V-25,3,MMSBM,Recall,738,0.8
12337,V-25,3,MMSBM,Precision,738,0.7999999992
12338,V-25,3,MMSBM,Accuracy,738,0.8620689655172413
12339,V-25,2,MMSBM,Recall,738,0.8571428571428571
12340,V-25,2,MMSBM,Precision,738,0.9999999991666666
12341,V-25,2,MMSBM,Accuracy,738,0.9310344827586208
12342,V-25,4,MMSBM,Recall,738,0.8571428571428571
12343,V-25,4,MMSBM,Precision,738,0.5999999993999999
12344,V-25,4,MMSBM,Accuracy,738,0.8214285714285714
12345,V-25,1,MMSBM,Recall,504,0.9090909090909091
12346,V-25,1,MMSBM,Precision,504,0.9090909082644627
12347,V-25,1,MMSBM,Accuracy,504,0.9310344827586207
12348,V-25,0,MMSBM,Recall,504,0.8181818181818182
12349,V-25,0,MMSBM,Precision,504,0.8181818174380164
12350,V-25,0,MMSBM,Accuracy,504,0.8620689655172413
12351,V-25,3,MMSBM,Recall,504,0.9166666666666666
12352,V-25,3,MMSBM,Precision,504,0.8461538455029586
12353,V-25,3,MMSBM,Accuracy,504,0.896551724137931
12354,V-25,2,MMSBM,Recall,504,0.7
12355,V-25,2,MMSBM,Precision,504,0.9999999985714286
12356,V-25,2,MMSBM,Accuracy,504,0.896551724137931
12357,V-25,4,MMSBM,Recall,504,0.6666666666666666
12358,V-25,4,MMSBM,Precision,504,0.7499999990624999
12359,V-25,4,MMSBM,Accuracy,504,0.8214285714285714
12360,V-25,1,MMSBM,Recall,505,0.7
12361,V-25,1,MMSBM,Precision,505,0.6999999992999999
12362,V-25,1,MMSBM,Accuracy,505,0.7931034482758621
12363,V-25,0,MMSBM,Recall,505,1.0
12364,V-25,0,MMSBM,Precision,505,0.6666666655555555
12365,V-25,0,MMSBM,Accuracy,505,0.9310344827586208
12366,V-25,3,MMSBM,Recall,505,0.6666666666666666
12367,V-25,3,MMSBM,Precision,505,0.49999999937499995
12368,V-25,3,MMSBM,Accuracy,505,0.7931034482758621
12369,V-25,2,MMSBM,Recall,505,0.875
12370,V-25,2,MMSBM,Precision,505,0.6999999992999999
12371,V-25,2,MMSBM,Accuracy,505,0.8620689655172414
12372,V-25,4,MMSBM,Recall,505,0.875
12373,V-25,4,MMSBM,Precision,505,0.8749999989062499
12374,V-25,4,MMSBM,Accuracy,505,0.9285714285714286
12375,V-25,1,MMSBM,Recall,502,0.6923076923076923
12376,V-25,1,MMSBM,Precision,502,0.8999999991
12377,V-25,1,MMSBM,Accuracy,502,0.8275862068965518
12378,V-25,0,MMSBM,Recall,502,0.8333333333333334
12379,V-25,0,MMSBM,Precision,502,0.7692307686390532
12380,V-25,0,MMSBM,Accuracy,502,0.8275862068965518
12381,V-25,3,MMSBM,Recall,502,0.6666666666666666
12382,V-25,3,MMSBM,Precision,502,0.9090909082644627
12383,V-25,3,MMSBM,Accuracy,502,0.7931034482758621
12384,V-25,2,MMSBM,Recall,502,0.8
12385,V-25,2,MMSBM,Precision,502,0.8888888879012344
12386,V-25,2,MMSBM,Accuracy,502,0.896551724137931
12387,V-25,4,MMSBM,Recall,502,1.0
12388,V-25,4,MMSBM,Precision,502,0.7857142851530612
12389,V-25,4,MMSBM,Accuracy,502,0.8928571428571428
12390,V-25,1,MMSBM,Recall,503,0.5833333333333334
12391,V-25,1,MMSBM,Precision,503,0.6999999992999999
12392,V-25,1,MMSBM,Accuracy,503,0.7241379310344828
12393,V-25,0,MMSBM,Recall,503,0.75
12394,V-25,0,MMSBM,Precision,503,0.9230769223668639
12395,V-25,0,MMSBM,Accuracy,503,0.8275862068965517
12396,V-25,3,MMSBM,Recall,503,0.6666666666666666
12397,V-25,3,MMSBM,Precision,503,0.5454545449586776
12398,V-25,3,MMSBM,Accuracy,503,0.7241379310344828
12399,V-25,2,MMSBM,Recall,503,0.36363636363636365
12400,V-25,2,MMSBM,Precision,503,0.571428570612245
12401,V-25,2,MMSBM,Accuracy,503,0.6551724137931034
12402,V-25,4,MMSBM,Recall,503,0.5833333333333334
12403,V-25,4,MMSBM,Precision,503,0.6363636357851239
12404,V-25,4,MMSBM,Accuracy,503,0.6785714285714286
12405,V-25,1,MMSBM,Recall,500,0.9
12406,V-25,1,MMSBM,Precision,500,0.6923076917751478
12407,V-25,1,MMSBM,Accuracy,500,0.8275862068965518
12408,V-25,0,MMSBM,Recall,500,0.6666666666666666
12409,V-25,0,MMSBM,Precision,500,0.666666666111111
12410,V-25,0,MMSBM,Accuracy,500,0.7241379310344828
12411,V-25,3,MMSBM,Recall,500,0.6875
12412,V-25,3,MMSBM,Precision,500,0.8461538455029586
12413,V-25,3,MMSBM,Accuracy,500,0.7586206896551724
12414,V-25,2,MMSBM,Recall,500,0.7272727272727273
12415,V-25,2,MMSBM,Precision,500,0.8888888879012344
12416,V-25,2,MMSBM,Accuracy,500,0.8620689655172413
12417,V-25,4,MMSBM,Recall,500,0.875
12418,V-25,4,MMSBM,Precision,500,0.8749999989062499
12419,V-25,4,MMSBM,Accuracy,500,0.9285714285714286
12420,V-25,1,MMSBM,Recall,501,0.8
12421,V-25,1,MMSBM,Precision,501,0.7999999992
12422,V-25,1,MMSBM,Accuracy,501,0.8620689655172413
12423,V-25,0,MMSBM,Recall,501,0.6363636363636364
12424,V-25,0,MMSBM,Precision,501,0.9999999985714286
12425,V-25,0,MMSBM,Accuracy,501,0.8620689655172414
12426,V-25,3,MMSBM,Recall,501,0.8
12427,V-25,3,MMSBM,Precision,501,0.666666666111111
12428,V-25,3,MMSBM,Accuracy,501,0.7931034482758621
12429,V-25,2,MMSBM,Recall,501,0.5
12430,V-25,2,MMSBM,Precision,501,0.49999999937499995
12431,V-25,2,MMSBM,Accuracy,501,0.7241379310344827
12432,V-25,4,MMSBM,Recall,501,0.6923076923076923
12433,V-25,4,MMSBM,Precision,501,0.8999999991
12434,V-25,4,MMSBM,Accuracy,501,0.8214285714285714
12435,V-25,1,MMSBM,Recall,630,0.8666666666666667
12436,V-25,1,MMSBM,Precision,630,0.7647058819031142
12437,V-25,1,MMSBM,Accuracy,630,0.7931034482758621
12438,V-25,0,MMSBM,Recall,630,0.75
12439,V-25,0,MMSBM,Precision,630,0.8181818174380164
12440,V-25,0,MMSBM,Accuracy,630,0.8275862068965518
12441,V-25,3,MMSBM,Recall,630,0.6666666666666666
12442,V-25,3,MMSBM,Precision,630,0.8888888879012344
12443,V-25,3,MMSBM,Accuracy,630,0.8275862068965517
12444,V-25,2,MMSBM,Recall,630,0.8666666666666667
12445,V-25,2,MMSBM,Precision,630,0.8124999994921874
12446,V-25,2,MMSBM,Accuracy,630,0.8275862068965517
12447,V-25,4,MMSBM,Recall,630,1.0
12448,V-25,4,MMSBM,Precision,630,0.8666666660888889
12449,V-25,4,MMSBM,Accuracy,630,0.9285714285714286
12450,V-25,1,MMSBM,Recall,631,0.7857142857142857
12451,V-25,1,MMSBM,Precision,631,0.9166666659027777
12452,V-25,1,MMSBM,Accuracy,631,0.8620689655172413
12453,V-25,0,MMSBM,Recall,631,0.8333333333333334
12454,V-25,0,MMSBM,Precision,631,0.7692307686390532
12455,V-25,0,MMSBM,Accuracy,631,0.8275862068965518
12456,V-25,3,MMSBM,Recall,631,0.8333333333333334
12457,V-25,3,MMSBM,Precision,631,0.8333333326388889
12458,V-25,3,MMSBM,Accuracy,631,0.8620689655172414
12459,V-25,2,MMSBM,Recall,631,0.46153846153846156
12460,V-25,2,MMSBM,Precision,631,0.7499999990624999
12461,V-25,2,MMSBM,Accuracy,631,0.6896551724137931
12462,V-25,4,MMSBM,Recall,631,0.6923076923076923
12463,V-25,4,MMSBM,Precision,631,0.749999999375
12464,V-25,4,MMSBM,Accuracy,631,0.75
12465,V-25,1,MMSBM,Recall,632,0.7142857142857143
12466,V-25,1,MMSBM,Precision,632,0.7692307686390532
12467,V-25,1,MMSBM,Accuracy,632,0.7586206896551724
12468,V-25,0,MMSBM,Recall,632,1.0
12469,V-25,0,MMSBM,Precision,632,0.6249999992187499
12470,V-25,0,MMSBM,Accuracy,632,0.896551724137931
12471,V-25,3,MMSBM,Recall,632,0.7692307692307693
12472,V-25,3,MMSBM,Precision,632,0.9090909082644627
12473,V-25,3,MMSBM,Accuracy,632,0.8620689655172414
12474,V-25,2,MMSBM,Recall,632,0.9
12475,V-25,2,MMSBM,Precision,632,0.8999999991
12476,V-25,2,MMSBM,Accuracy,632,0.9310344827586208
12477,V-25,4,MMSBM,Recall,632,0.8125
12478,V-25,4,MMSBM,Precision,632,0.8124999994921874
12479,V-25,4,MMSBM,Accuracy,632,0.7857142857142858
12480,V-25,1,MMSBM,Recall,633,0.7272727272727273
12481,V-25,1,MMSBM,Precision,633,0.5714285710204081
12482,V-25,1,MMSBM,Accuracy,633,0.6896551724137931
12483,V-25,0,MMSBM,Recall,633,1.0
12484,V-25,0,MMSBM,Precision,633,0.749999999375
12485,V-25,0,MMSBM,Accuracy,633,0.896551724137931
12486,V-25,3,MMSBM,Recall,633,0.7142857142857143
12487,V-25,3,MMSBM,Precision,633,0.9999999989999999
12488,V-25,3,MMSBM,Accuracy,633,0.8620689655172414
12489,V-25,2,MMSBM,Recall,633,0.625
12490,V-25,2,MMSBM,Precision,633,0.5555555549382716
12491,V-25,2,MMSBM,Accuracy,633,0.7586206896551724
12492,V-25,4,MMSBM,Recall,633,0.8461538461538461
12493,V-25,4,MMSBM,Precision,633,0.999999999090909
12494,V-25,4,MMSBM,Accuracy,633,0.9285714285714286
12495,V-25,1,MMSBM,Recall,469,0.625
12496,V-25,1,MMSBM,Precision,469,0.9999999989999999
12497,V-25,1,MMSBM,Accuracy,469,0.7931034482758621
12498,V-25,0,MMSBM,Recall,469,0.625
12499,V-25,0,MMSBM,Precision,469,0.8333333326388889
12500,V-25,0,MMSBM,Accuracy,469,0.7241379310344828
12501,V-25,3,MMSBM,Recall,469,0.7
12502,V-25,3,MMSBM,Precision,469,0.6999999992999999
12503,V-25,3,MMSBM,Accuracy,469,0.7931034482758621
12504,V-25,2,MMSBM,Recall,469,0.7142857142857143
12505,V-25,2,MMSBM,Precision,469,0.7142857137755102
12506,V-25,2,MMSBM,Accuracy,469,0.7241379310344828
12507,V-25,4,MMSBM,Recall,469,0.8666666666666667
12508,V-25,4,MMSBM,Precision,469,0.9285714279081632
12509,V-25,4,MMSBM,Accuracy,469,0.8928571428571428
12510,V-25,1,MMSBM,Recall,468,0.8181818181818182
12511,V-25,1,MMSBM,Precision,468,0.749999999375
12512,V-25,1,MMSBM,Accuracy,468,0.8275862068965518
12513,V-25,0,MMSBM,Recall,468,0.8571428571428571
12514,V-25,0,MMSBM,Precision,468,0.7999999994666667
12515,V-25,0,MMSBM,Accuracy,468,0.8275862068965517
12516,V-25,3,MMSBM,Recall,468,0.8461538461538461
12517,V-25,3,MMSBM,Precision,468,0.8461538455029586
12518,V-25,3,MMSBM,Accuracy,468,0.8620689655172413
12519,V-25,2,MMSBM,Recall,468,0.7142857142857143
12520,V-25,2,MMSBM,Precision,468,0.7142857132653061
12521,V-25,2,MMSBM,Accuracy,468,0.8620689655172414
12522,V-25,4,MMSBM,Recall,468,0.75
12523,V-25,4,MMSBM,Precision,468,0.9999999988888888
12524,V-25,4,MMSBM,Accuracy,468,0.8928571428571428
12525,V-25,1,MMSBM,Recall,636,0.7857142857142857
12526,V-25,1,MMSBM,Precision,636,0.8461538455029586
12527,V-25,1,MMSBM,Accuracy,636,0.8275862068965517
12528,V-25,0,MMSBM,Recall,636,0.875
12529,V-25,0,MMSBM,Precision,636,0.5384615380473372
12530,V-25,0,MMSBM,Accuracy,636,0.7586206896551725
12531,V-25,3,MMSBM,Recall,636,0.9
12532,V-25,3,MMSBM,Precision,636,0.9999999988888888
12533,V-25,3,MMSBM,Accuracy,636,0.9655172413793103
12534,V-25,2,MMSBM,Recall,636,0.9166666666666666
12535,V-25,2,MMSBM,Precision,636,0.7857142851530612
12536,V-25,2,MMSBM,Accuracy,636,0.8620689655172413
12537,V-25,4,MMSBM,Recall,636,0.6153846153846154
12538,V-25,4,MMSBM,Precision,636,0.8888888879012344
12539,V-25,4,MMSBM,Accuracy,636,0.7857142857142857
12540,V-25,1,MMSBM,Recall,637,0.7
12541,V-25,1,MMSBM,Precision,637,0.6999999992999999
12542,V-25,1,MMSBM,Accuracy,637,0.7931034482758621
12543,V-25,0,MMSBM,Recall,637,0.8333333333333334
12544,V-25,0,MMSBM,Precision,637,0.7692307686390532
12545,V-25,0,MMSBM,Accuracy,637,0.8275862068965518
12546,V-25,3,MMSBM,Recall,637,0.8571428571428571
12547,V-25,3,MMSBM,Precision,637,0.7999999994666667
12548,V-25,3,MMSBM,Accuracy,637,0.8275862068965517
12549,V-25,2,MMSBM,Recall,637,0.6363636363636364
12550,V-25,2,MMSBM,Precision,637,0.7777777769135802
